No Mag.,Nom Mag.,Adresse Mag.,Ville,Postal
110,C-IGA* Supermarché Laplante Inc,420 2ème Avenue local #1,St-Jean sur Richelieu,J2X 2B8
168,C-IGA Supermarché  Rousseau,1855 Route des Rivières Suite 200,Lévis,G7A 4X8
238,C-IGA Extra Marché R. Tellier Laval Inc.,3557 Boul. Dagenais Ouest,Fabreville Laval,H7P 4X4
252,C-IGA 2857-4077 Québec Inc.,850  7 ème Avenue,Grand-Mère,G9T 2B8
281,C-IGA Marché Tellier Sorel Inc,411 Boul. Poliquin,Sorel Tracy,J3P 7V9
282,C-IGA Gestion Famille Déziel Inc.,110 Boul. Don Quichotte,Île-Perrot,J7V 6L7
286,C-IGA*Ugo Gazaille,461 Chemin Knowlton,Lac Brôme,J0E 1V0
291,C-IGA*Marché Faubourg St-Amable,525 Principale,St-Amable,J0L 1N0
293,C-IGA Marché Alimentation Beck,8130 Boul. Champlain,Lasalle,H8P 1B4
332,C-IGA Extra St-Basile-le-Grand,2400 Boul. Millénaire,St-Basile Le Grand,J3N 1T8
360,C-IGA Extra Place Longueuil,825 St-Laurent Ouest,Longueuil,J4K 2V1
399,C-IGA Supermarché Jacques Daigle,220 Rue St-Charles,Ste-Thérèse,J7E 2B4
407,C-IGA Marché St-Pierre & Fils,780 Boul. Frontenac Est,Thetford Mines,G6G 6H1
414,C-IGA Magasin Coop Plessisville,1971 Rue Bilodeau,Plessisville,G6L 3J1
428,C-IGA 9081-3320 Québec Inc.,560 Boul. des Bois-Francs Sud,Victoriaville,G6P 5X4
439,C-IGA Extra Sobeys Châteauguay,90 Boul. Anjou,Chateauguay,J6K 1C3
444,C-IGA Extra Sobeys St-Romuald,1060 Boul. Guillaume-Couture,Lévis,G6W 5M6
451,C-IGA Extra Rivière Du Loup,254 Bd de l'Hôtel de Ville,Rivière-du-Loup,G5R 1M4
477,C-IGA 9123-1753 Québec inc.,39-A Montée Sandy Beach,Gaspé,G4X 2A9
514,C-IGA Extra Sherbrooke,775 Rue Galt Ouest,Sherbrooke,J1H 1Z1
517,C-IGA Supermarché Iga DDO Inc,11800 Boul. de Salaberry,Dollard des Ormeaux,H9B 2R8
523,C-IGA Extra ST-Nicephore,4563 Boul. St-Joseph,ST-Nicephore,J2A 1B4
527,C-IGA Smarché R.Tellier Salaberry Inc.,2820 Rue de Salaberry,Montréal,H3M 1L3
542,C-IGA Lamoureux,3765 Chemin Oka,St-Joseph Du Lac,J0N 1M0
573,C-IGA Marché C.D.I.Tellier Inc,6190 Boul. Henri-Bourassa Est,Montréal,H1G 5X3
